m.year,player.id,player.name,m.team_id,m.position_id,m.age,m.av_value,m.year,m.round,m.pick,m.base_salary,m.cap_hit,m.dead_cap
1994,198747,"Donald Evans",NYJ,DT,30,7,1994,2,47,,,
1994,198636,"Gerald Williams",PIT,DE,31,7,1994,2,36,,,
1994,1989131,"Glenn Montgomery",TEN,DT,27,7,1994,5,131,,,
1994,198914,"Jeff Lageman",NYJ,DE,27,7,1994,1,14,,,
1994,198763,"Jerry Ball",OAK,DT,30,7,1994,3,63,,,
1994,199064,"Jimmie Jones",LAR,DT,28,7,1994,3,64,,,
1994,0000810,"Joe Nash",SEA,DT,34,7,1994,,,,,
1994,0000811,"Keith Rucker",CIN,DT,26,7,1994,,,,,
1994,199043,"Kenny Davidson",TEN,DE,27,7,1994,2,43,,,
1994,199015,"Lamar Lathon",TEN,LB,27,7,1994,1,15,400000,600000,0
1994,1989151,"Marvin Washington",NYJ,DE,29,7,1994,6,151,,,
1994,199340,"Michael Strahan",NYG,DE,23,7,1994,2,40,212500,362500,0
1994,199154,"Phil Hansen",BUF,DE,26,7,1994,2,54,162000,495333,0
1994,19853,"Ray Childress",TEN,DT,32,7,1994,1,3,,,
1994,0000797,"Ray Seals",PIT,DE,29,7,1994,,,,,
1994,1988225,"Reuben Davis",LAC,DT,29,7,1994,9,225,,,
1994,1991116,"Robert Young",LAR,DE,25,7,1994,5,116,,,
1994,1988163,"Shawn Lee",LAC,DT,28,7,1994,6,163,,,
1994,198073,"Steve McMichael",GNB,DT,37,7,1994,3,73,,,
1994,199125,"Ted Washington",DEN,DT,26,7,1994,1,25,338000,476000,0
1994,1987147,"Al Smith",TEN,ILB,30,7,1994,6,147,,,
1994,199075,"Bobby Houston",NYJ,OLB,27,7,1994,3,75,,,
1994,19896,"Broderick Thomas",DET,OLB,27,7,1994,1,6,,,
1994,1991167,"Corey Miller",NYG,OLB,26,7,1994,6,167,,,
1994,19872,"Cornelius Bennett",BUF,OLB,29,7,1994,1,2,,,
1994,1989186,"David Griggs",LAC,OLB,27,7,1994,7,186,,,
1994,199137,"Dixon Edwards",DAL,OLB,26,7,1994,2,37,,,
1994,1992254,"Elijah Alexander",DEN,OLB,24,7,1994,10,254,,,
1994,198847,"Fred Strickland",GNB,ILB,28,7,1994,2,47,,,
1994,1993181,"Greg Biekert",OAK,ILB,25,7,1994,7,181,,,
1994,199012,"James Francis",CIN,OLB,26,7,1994,1,12,500000,720000,0
1994,1988243,"Jeff Herrod",IND,ILB,28,7,1994,9,243,,,
1994,198611,"Joe Kelly",LAR,OLB,30,7,1994,1,11,,,
1994,199347,"Micheal Barrow",TEN,OLB,24,7,1994,2,47,,,
1994,00001256,"Mike Johnson",DET,OLB,32,7,1994,,,,,
1994,19922,"Quentin Coryatt",IND,OLB,24,7,1994,1,2,,,
