"year","player","url","position","college","weight"
"2000","D'Andre Hardeman","","FB","Texas A&M","238"
"2000","Semisi Heimuli","","OG","Texas A&M","312"
"2000","Leroy Hodge","","WR","Texas A&M","215"
"2000","Al Jackson","","OG","LSU","304"
"2000","Keith Jackson","","DT","Cheyney","319"
"2000","Ryan Johanningmeier","","OG","Colorado","310"
"2000","Dwaune Jones","","WR","Richmond","191"
"2000","Morgan Kane","","RB","Wake Forest","221"
"2000","Matt Keller","","FB","Ohio State","235"
"2000","Dan Kendra","","FB","Florida State","251"
"2000","Tim Lester","","QB","Western Michigan","202"
"2000","Alton Lusk","","WR","Central Oklahoma","182"
"2000","Wendell Montgomery","","WR","Wyoming","203"
"2000","Mookie Moore","","OG","Troy","320"
"2000","Leon Murray","","QB","Tennessee State","207"
"2000","Matt O'Neal","","C","Oklahoma","277"
"2000","Cory Peterson","","WR","Mississippi","195"
"2000","Brian Young","/players/Y/YounBr20.htm","DE","Texas-El Paso","278"
"2000","Antonio Wilson","/players/W/WilsAn20.htm","OLB","Texas A&M-Commerce","245"
"2000","Bobbie Williams","/players/W/WillBo21.htm","OT","Arkansas","332"
"2000","Damen Wheeler","/players/W/WheeDa20.htm","CB","Colorado","179"
"2000","Austin Wheatley","/players/W/WheaAu20.htm","TE","Iowa","254"
"2000","James Whalen","/players/W/WhalJa00.htm","TE","Kentucky","228"
"2000","Jason Webster","/players/W/WebsJa20.htm","CB","Texas A&M","180"
"2000","Ethan Howell","","CB","Oklahoma State","186"
"2000","Todd Wade","/players/W/WadeTo20.htm","OT","Mississippi","326"
"2000","Darrick Vaughn","/players/V/VaugDa20.htm","CB","Texas State","196"
"2000","Brian Urlacher","/players/U/UrlaBr00.htm","OLB","New Mexico","258"
"2000","Jeff Ulbrich","/players/U/UlbrJe20.htm","ILB","Hawaii","249"
"2000","Travares Tillman","/players/T/TillTr20.htm","FS","Georgia Tech","194"
"2000","Raynoch Thompson","/players/T/ThomRa23.htm","OLB","Tennessee","220"
"2000","Michael Thompson","/players/T/ThomMi20.htm","OT","Tennessee State","305"
"2000","Adalius Thomas","/players/T/ThomAd00.htm","DE","Southern Miss","270"
"2000","Shannon Taylor","/players/T/TaylSh20.htm","OLB","Virginia","249"
"2000","Jay Tant","/players/T/TantJa00.htm","TE","Northwestern","255"
"2000","Dave Stachelski","/players/S/StacDa00.htm","TE","Boise State","250"
"2000","Robaire Smith","/players/S/SmitRo21.htm","DE","Michigan State","275"
"2000","Marvel Smith","/players/S/SmitMa55.htm","OT","Arizona State","320"
"2000","T.J. Slaughter","/players/S/SlauT.20.htm","ILB","Southern Miss","247"
"2000","Peter Sirmon","/players/S/SirmPe20.htm","ILB","Oregon","246"
"2000","Mark Simoneau","/players/S/SimoMa20.htm","OLB","Kansas State","237"
"2000","Brandon Short","/players/S/ShorBr20.htm","ILB","Penn State","252"
"2000","Wes Shivers","/players/S/ShivWe20.htm","OT","Mississippi State","318"
"2000","Jacoby Shepherd","/players/S/ShepJa20.htm","CB","Oklahoma State","195"
"2000","Tony Scott","/players/S/ScotTo21.htm","CB","North Carolina State","193"
"2000","Sekou Sanyika","/players/S/SanySe20.htm","OLB","California","241"
"2000","Lewis Sanders","/players/S/SandLe20.htm","CB","Maryland","202"
"2000","Chris Samuels","/players/S/SamuCh00.htm","OT","Alabama","325"
"2000","Mark Roman","/players/R/RomaMa20.htm","CB","LSU","188"
"2000","Tutan Reyes","/players/R/ReyeTu20.htm","OT","Mississippi","299"
"2000","Greg Randall","/players/R/RandGr20.htm","OT","Michigan State","333"
"2000","Kaulana Noa","","OT","Hawaii","317"
"2000","Hank Poteat","/players/P/PoteHa20.htm","CB","Pittsburgh","197"
"2000","DaShon Polk","/players/P/PolkDa20.htm","OLB","Arizona","233"
"2000","Ahmed Plummer","/players/P/PlumAh20.htm","CB","Ohio State","191"
"2000","Jason Gavadza","","TE","Kent State","249"
"2000","John Frank","","DE","Utah","280"
"2000","Julian Peterson","/players/P/PeteJu00.htm","OLB","Michigan State","231"
"2000","Deltha O'Neal","/players/O/ONeaDe00.htm","CB","California","193"
"2000","Andre O'Neal","/players/O/ONeaAn20.htm","ILB","Marshall","235"
