"year","team","player","position","base_salary","signing_bonus","roster_bonus","option_bonus","workout_bonus","restructured_bonus","dead_cap","cap_hit","cap_percentage"
"1995","MIN","Brad Johnson","QB","328000","37500","0","0","0","0","0","365500","8.72"
"1995","NEW","Drew Bledsoe","QB","1700000","2392857","0","0","0","0","0","4092857","49.27"
"1995","NEW","Pat Harlow","T","1400000","250000","0","0","0","0","0","1650000","19.86"
"1995","NEW","Willie McGinest","LB","656250","825000","0","0","0","0","0","1481250","17.83"
"1995","NEW","Curtis Martin","RB","136000","916666","30000","0","0","0","0","1082666","13.03"
"1995","NOR","Renaldo Turnbull","LB","750000","1250000","0","0","0","0","0","2650000","52.48"
"1995","NOR","Torrance Small","WR","1000000","375000","0","0","0","0","0","1375000","27.23"
"1995","NOR","Vinnie Clark","CB","750000","275000","0","0","0","0","0","1025000","20.3"
"1995","NYG","Rodney Hampton","RB","1875000","400000","0","0","0","0","0","2275000","37.19"
"1995","NYG","Dave Brown","QB","1050000","400000","0","0","0","0","0","1450000","23.7"
"1995","NYG","Mike Croel","LB","825000","0","0","0","0","0","0","825000","13.49"
"1995","NYG","Ray Agnew","DT","300000","375000","0","0","0","100000","0","775000","12.67"
"1995","NYG","Michael Strahan","DE","255000","150000","0","0","0","0","0","405000","6.62"
"1995","OAK","Tim Brown","WR","2000000","750000","0","0","0","0","0","2750000","45.63"
"1995","OAK","Anthony Smith","DE","1600000","0","0","0","0","0","0","1600000","26.55"
"1995","OAK","Rocket Ismail","WR","850000","0","0","0","0","0","0","850000","14.1"
"1995","OAK","Harvey Williams","RB","300000","250000","0","0","0","0","0","550000","9.13"
"1995","OAK","Bruce Pickens","CB","276600","0","0","0","0","0","0","276600","4.59"
"1995","OAK","Billy Joe  Hobert","QB","0","0","0","0","0","0","0","0","0.0"
"1995","PIT","Leon Searcy","T","750000","375000","0","0","0","0","0","1125000","100.0"
"1995","SFO","Jerry Rice","WR","2175000","380000","0","0","0","0","0","2555000","92.74"
"1995","SFO","Dexter Carter","RB","200000","0","0","0","0","0","0","200000","7.26"
"1995","SEA","Cortez Kennedy","DT","2000000","208333","800000","0","200000","0","0","3208333","94.74"
"1995","SEA","Steve Broussard","RB","178000","0","0","0","0","0","0","178000","5.26"
"1995","TAM","Alvin Harper","WR","1750000","750000","0","0","0","0","0","2500000","32.42"
"1995","TAM","Trent Dilfer","QB","1000000","562500","0","0","0","0","0","1562500","20.26"
"1995","TAM","Charles McRae","T","855000","400000","25000","0","40000","0","0","1320000","17.12"
"1995","TAM","Warren Sapp","DT","390000","575000","0","0","0","0","0","965000","12.51"
"1995","TAM","Derrick Brooks","LB","410000","250000","0","0","0","0","0","660000","8.56"
"1995","TAM","John Booty","CB","300000","25000","126875","0","0","0","0","451875","5.86"
"1995","TAM","John Lynch","S","200000","0","0","0","0","0","0","250000","3.24"
"1995","TEN","Steve McNair","QB","983000","757142","0","0","0","0","0","1740142","84.74"
"1995","TEN","Rodney Thomas","RB","150000","96666","0","0","0","0","0","246666","12.01"
"1995","WAS","Stanley Richard","S","1200000","625000","0","0","0","0","0","1825000","80.22"
"1995","WAS","Terry Allen","RB","400000","0","50000","0","0","0","0","450000","19.78"
"1996","STL","Todd Lyght","CB","690000","577500","1000000","0","10000","0","0","2277500","32.52"
"1996","STL","Bern Brostek","C","1100000","400000","0","0","200","0","0","1500200","21.42"
"1996","STL","Issac Bruce","WR","626250","800000","0","0","0","0","0","1426250","20.36"
"1996","STL","Steve Walsh","QB","1000000","0","0","0","0","0","0","1000000","14.28"
"1996","SDG","Junior Seau","LB","2610000","1380000","0","0","0","0","0","3990000","94.44"
"1996","SDG","Rodney Harrison","S","220000","15000","0","0","0","0","0","235000","5.56"
"1996","ARI","Aeneas Williams","CB","2200000","1200000","0","0","0","0","0","3400000","82.05"
"1996","ARI","Brent Alexander","S","385000","31666","0","0","0","0","0","416666","10.06"
"1996","ARI","Ronnie Bradford","CB","196000","0","0","0","0","0","0","196000","4.73"
"1996","ARI","Tommy Bennett","S","131000","0","0","0","0","0","0","131000","3.16"
"1996","ATL","Jeff George","QB","3636000","0","0","0","0","0","0","3636000","71.49"
"1996","ATL","Jamal Anderson","RB","1450000","0","0","0","0","0","0","1450000","28.51"
"1996","BAL","Eric Turner","S","1100000","916666","1300000","0","0","0","0","3316666","50.52"
"1996","BAL","Ray Lewis","LB","450000","260000","0","0","0","0","0","710000","10.82"
"1996","BAL","Mike Croel","LB","275000","0","0","0","0","0","0","275000","4.19"
"1996","BAL","Eric Green","TE","263235","0","0","0","0","0","0","263235","4.01"
"1996","BUF","Jim Kelly","QB","2750000","375000","0","0","165000","590000","0","3880000","23.08"
"1996","BUF","Bruce Smith","DE","2200000","1016666","0","0","0","0","0","3316666","19.73"
"1996","BUF","Henry Jones","S","1300000","600000","300000","0","0","0","0","2200000","13.09"
"1996","BUF","Thurman Thomas","RB","1600000","575000","0","0","0","0","0","2175000","12.94"
"1996","BUF","Phil Hansen","DE","300000","1533334","0","0","0","0","0","1833334","10.9"
"1996","BUF","Ted Washington","DT","800000","270000","0","0","0","0","0","1070000","6.36"
"1996","BUF","Eric Moulds","WR","475430","300000","0","0","0","0","0","775430","4.61"
"1996","BUF","Steve Christie","K","250000","300000","0","0","0","0","0","550000","3.27"
"1996","BUF","Andre Reed","WR","300000","225000","0","0","0","0","0","525000","3.12"
"1996","BUF","Todd Collins","QB","164000","160000","163500","0","0","0","0","487500","2.9"
"1996","CAR","Lamar Lathon","LB","2400000","600000","0","0","0","0","0","3000000","38.27"
"1996","CAR","Kerry Collins","QB","790000","1000000","0","0","0","0","0","1790000","22.83"
"1996","CAR","Rocket Ismail","WR","935000","0","0","0","0","0","0","935000","11.93"
"1996","CAR","John Kasay","K","700000","200000","0","0","0","0","0","900000","11.48"
"1996","CAR","Steve Beuerlein","QB","650000","110000","0","0","0","0","0","760000","9.69"
"1996","CAR","Muhsin Muhammad","WR","270000","185000","0","0","0","0","0","455000","5.8"
"1996","CHI","Mark Carrier","S","1100000","400000","0","0","0","0","0","1500000","44.17"
"1996","CHI","Walt Harris","CB","131000","520000","335000","0","0","0","0","986000","29.03"
"1996","CHI","Rashaan Salaam","RB","455000","455000","0","0","0","0","0","910000","26.8"
"1996","CIN","Jeff Blake","QB","1550000","0","500000","0","0","0","0","2050000","50.59"
"1996","CIN","James Francis","LB","1250000","375000","175000","0","0","0","0","1800000","44.42"
"1996","CIN","Rich Braham","C","202500","0","0","0","0","0","0","202500","5.0"
"1996","DAL","Troy  Aikman","QB","4000000","1031250","0","0","0","340000","0","5371250","37.7"
"1996","DAL","Emmitt Smith","RB","1000000","2500000","0","0","0","0","0","3500000","24.57"
"1996","DAL","Deion Sanders","CB","492000","1700000","0","0","0","0","0","2192000","15.39"
"1996","DAL","Michael Irvin","WR","1285300","900040","0","0","0","0","0","1783684","12.52"
"1996","DAL","Darren Woodson","S","500000","900000","0","0","0","0","0","1400000","9.83"
"1996","DEN","John Elway","QB","1770000","2541666","0","0","0","0","0","4311666","46.37"
"1996","DEN","Anthony Miller","WR","1100000","1325000","0","0","0","0","0","2425000","26.08"
"1996","DEN","Shannon Sharpe","TE","1350000","100000","0","0","0","0","0","1450000","15.59"
"1996","DEN","Terrell Davis","RB","200000","212666","0","0","0","0","0","412666","4.44"
"1996","DEN","Rod Smith","WR","200000","0","0","0","0","0","0","200000","2.15"
"1996","DET","Barry Sanders","RB","3946500","0","400000","0","0","0","0","4346500","75.77"
"1996","DET","Herman Moore","WR","0","1390000","0","0","0","0","0","1390000","24.23"
"1996","GNB","Brett Favre","QB","3600000","515000","0","0","0","0","0","4115000","56.51"
"1996","GNB","Andre Rison","WR","1000000","0","1000000","0","0","0","0","2000000","27.46"
"1996","GNB","Antonio Freeman","WR","187500","93000","0","0","0","0","0","280500","3.85"
"1996","IND","Tony Bennett","LB","2000000","750000","0","0","0","0","0","2750000","43.67"
"1996","IND","Marshall Faulk","RB","1479000","728571","0","0","0","0","0","2207571","35.05"
"1996","IND","Marvin Harrison","WR","510000","400000","0","0","0","0","0","910000","14.45"
"1996","IND","Ken Dilger","TE","250000","157000","0","0","0","0","0","407000","6.46"
"1996","IND","Kelly Holcomb","QB","131000","0","0","0","0","0","0","23117","0.37"
"1996","JAX","Derek Brown","TE","575000","37500","40000","0","10000","0","0","662500","80.16"
"1996","JAX","Rob Johnson","QB","164000","0","0","0","0","0","0","164000","19.84"
"1996","KAN","Marcus Allen","RB","450000","166666","0","0","0","0","0","616666","100.0"
"1996","MIA","Dan Marino","QB","2810000","2516666","600000","0","0","0","0","5926666","50.14"
"1996","MIA","Richmond Webb","T","1225000","375000","600000","700000","0","0","0","2900000","24.53"
"1996","MIA","JB Brown","CB","840000","360000","0","0","25000","0","0","1225000","10.36"
"1996","MIA","Chris Singleton","LB","400000","280000","200000","0","25000","0","0","905000","7.66"
"1996","MIA","Randal Hill","WR","280000","0","0","0","0","0","0","280000","2.37"
"1996","MIN","Cris Carter","WR","1450000","925000","0","0","0","0","0","2490000","61.12"
"1996","MIN","Brad Johnson","QB","300000","477500","50000","0","0","0","0","827500","20.31"
"1996","MIN","Qadry Ismail","WR","337093","109375","50000","0","0","0","0","506468","12.43"
"1996","NEW","Drew Bledsoe","QB","1500000","2392857","0","0","100000","0","0","3992857","56.14"
"1996","NEW","Willie McGinest","LB","787500","825000","0","0","0","0","0","1612500","22.67"
"1996","NEW","Curtis Martin","RB","206000","916666","0","0","0","0","0","1122666","15.78"
"1996","NEW","Adam Vinatieri","K","131000","500","3000","0","0","0","0","134500","1.89"
"1996","NOR","Renaldo Turnbull","LB","1500000","1250000","0","0","0","0","0","2750000","66.67"
"1996","NOR","Torrance Small","WR","1000000","375000","0","0","0","0","0","1375000","33.33"
"1996","NYG","Dave Brown","QB","1250000","1000000","0","0","0","0","0","2250000","26.79"
"1996","NYG","Rodney Hampton","RB","1250000","1000000","0","0","0","0","0","2250000","26.79"
"1996","NYG","Michael Strahan","DE","1350000","875000","0","0","0","0","0","2225000","26.49"
"1996","NYG","Ray Agnew","DT","1200000","375000","0","0","0","100000","0","1675000","19.94"
"1996","NYJ","Keyshawn Johnson","WR","872000","1083333","0","0","0","0","0","1955333","95.52"
"1996","OAK","Tim Brown","WR","500000","750000","0","0","0","0","0","1850000","23.06"
"1996","OAK","Russell Maryland","DT","800000","716666","0","0","0","0","0","1516666","18.9"
"1996","OAK","Pat Harlow","T","1000000","400000","0","0","0","0","0","1400000","17.45"
"1996","OAK","Anthony Smith","DE","1060000","0","0","0","0","180000","0","1240000","15.45"
"1996","OAK","Harvey Williams","RB","600000","416666","0","0","0","0","0","1016666","12.67"
"1996","OAK","Charles McRae","T","300000","0","0","0","0","0","0","300000","3.74"
"1996","PHI","Mark Rypien","QB","400000","0","0","0","0","0","0","400000","74.63"
"1996","PHI","Hollis Thomas","DT","131000","5000","0","0","0","0","0","136000","25.37"
"1996","PIT","Jerome Bettis","RB","620000","0","0","0","0","0","0","621250","100.0"
"1996","SFO","Jerry Rice","WR","1600000","951428","0","0","0","0","0","2551428","87.6"
"1996","SFO","Dexter Carter","RB","200000","0","0","0","0","0","0","200000","6.87"
"1996","SFO","Terrell Owens","WR","152000","9000","0","0","0","0","0","161000","5.53"
"1996","SEA","Cortez Kennedy","DT","2000000","208333","300000","0","200000","0","0","2708333","78.44"
"1996","SEA","Mike Pritchard","WR","300000","100000","0","0","0","0","0","400000","11.58"
"1996","SEA","Steve Broussard","RB","255000","0","30000","0","0","0","0","285000","8.25"
"1996","TAM","Trent Dilfer","QB","1200000","562500","0","0","0","0","0","3062500","37.01"
"1996","TAM","Alvin Harper","WR","2100000","750000","0","0","0","0","0","2850000","34.45"
"1996","TAM","Warren Sapp","DT","447500","575000","0","0","0","0","0","1047500","12.66"
"1996","TAM","Derrick Brooks","LB","512500","250000","0","0","0","0","0","762500","9.22"
"1996","TAM","John Lynch","S","400000","125000","0","0","0","0","0","525000","6.35"
"1996","TEN","Steve McNair","QB","1228750","757142","0","0","0","0","0","1985892","60.64"
"1996","TEN","Eddie George","RB","425000","580000","0","0","0","0","0","1005000","30.69"
"1996","TEN","Rodney Thomas","RB","187500","96666","0","0","0","0","0","284166","8.68"
"1996","WAS","Stanley Richard","S","1400000","625000","0","0","0","0","0","2025000","50.31"
"1996","WAS","Terry Allen","RB","1000000","0","1000000","0","0","0","0","2000000","49.69"
"1998","RAI","Jeff George","QB","2000000","1000000","0","0","0","0","0","3000000","20.29"
"1998","RAI","Russell Maryland","DT","1450000","716666","0","0","0","300000","0","2466666","16.68"
"1998","RAI","Tim Brown","WR","1500000","0","0","0","0","0","0","2100000","14.2"
"1998","RAI","Charles Woodson","SS","350000","1333333","0","0","0","0","0","2083333","14.09"
"1998","RAI","Pat Harlow","T","900000","400000","0","0","0","200000","0","1500000","10.15"
"1998","RAI","Harvey Williams","RB","650000","416666","0","0","0","80000","0","1146666","7.76"
"1998","RAI","Eric Turner","S","550000","312500","0","0","0","0","0","862500","5.83"
"1998","RAI","Mo Collins","G","260000","500000","100000","0","0","0","0","860000","5.82"
"1998","RAI","Derek Brown","TE","320520","0","0","0","0","0","0","320520","2.17"
"1998","RAI","Phil Dawson","K","265000","0","0","0","0","0","0","265000","1.79"
