year,id,name,position_id,av_value
1994,1989159,"Floyd Turner",WR,7
1994,198676,"John Taylor",WR,7
1994,198795,"Kelvin Martin",WR,7
1994,00003215,"Mark Seay",WR,7
1994,1991240,"Shawn Jefferson",WR,7
1994,00003216,"Willie Davis",WR,7
1994,199412,"Aaron Glenn",CB,6
1994,198835,"Anthony Newman",S,6
1994,19883,"Bennie Blades",S,6
1994,1993214,"Blaine Bishop",S,6
1994,000021,"Corey Raymond",CB,6
1994,1989174,"D.J. Johnson",CB,6
1994,198328,"Darrell Green",CB,6
1994,198953,"Darryl Henley",CB,6
1994,1993155,"Darryl Morrison",S,6
1994,199323,"Deon Figures",CB,6
1994,1988299,"Dwayne Harper",CB,6
1994,199053,"Eric Davis",CB,6
1994,1984205,"Eugene Daniel",CB,6
1994,1987179,"Gene Atkins",S,6
1994,199126,"Henry Jones",S,6
1994,1989315,"J.B. Brown",CB,6
1994,198842,"Jarvis Williams",S,6
1994,199280,"Jeremy Lincoln",CB,6
1994,199148,"Jesse Campbell",S,6
1994,1991215,"Jimmy Spencer",CB,6
1994,1988257,"John Booty",S,6
1994,199217,"Kevin Smith",CB,6
1994,1991320,"Larry Brown",CB,6
1994,198644,"Mark Collins",S,6
1994,199233,"Marquez Pope",S,6
1994,1984101,"Martin Bayless",S,6
1994,1988262,"Martin Mayhew",CB,6
1994,1987213,"Michael Stewart",S,6
1994,198986,"Ray Crockett",CB,6
1994,198736,"Ricky Reynolds",CB,6
1994,198946,"Robert Massey",CB,6
1994,198625,"Rod Jones",CB,6
1994,19818,"Ronnie Lott",S,6
1994,199328,"Thomas Smith",CB,6
1994,19915,"Todd Lyght",CB,6
1994,1991163,"Todd Scott",S,6
1994,199317,"Tom Carter",CB,6
1994,19927,"Troy Vincent",S,6
1994,1992221,"Willie Clay",S,6
1994,1993204,"Antonio Edwards",DE,6
1994,1993145,"Chidi Ahanotu",DE,6
1994,1987175,"Dan Saleaumua",DT,6
1994,19941,"Dan Wilkinson",DT,6
1994,1987332,"Fred Stokes",DE,6
1994,1983110,"Greg Townsend",DE,6
1994,1988239,"Jeff Cross",DE,6
1994,199413,"Joe Johnson",DE,6
1994,199120,"Kelvin Pritchett",DT,6
1994,199187,"Moe Gardner",DT,6
1994,199226,"Robert Porcher",DT,6
1994,19923,"Sean Gilbert",DT,6
1994,199254,"Shane Dronett",DT,6
1994,1993101,"Sterling Palmer",DE,6
1994,198718,"Tony Woods",DE,6
1994,1984119,"Barney Bussey",S,6
1994,1988235,"Carlton Bailey",ILB,6
1994,198851,"Dante Jones",ILB,6
1994,199027,"Darion Conner",OLB,6
1994,198339,"Darryl Talley",OLB,6
1994,1987203,"Dennis Gibson",ILB,6
1994,199250,"Eddie Robinson",OLB,6
1994,00001271,"George Jamison",OLB,6
1994,1987122,"Hardy Nickerson",ILB,6
1994,1983310,"Karl Mecklenburg",ILB,6
1994,1994182,"Lee Woodall",OLB,6
1994,00001257,"Lonnie Marts",OLB,6
1994,1991249,"Mark Maddox",ILB,6
1994,1990208,"Marvcus Patton",OLB,6
1994,199014,"Renaldo Turnbull",OLB,6
1994,199422,"Rob Fredrickson",OLB,6
1994,1992253,"Steve Grant",OLB,6
1994,00001298,"Tyronne Stowe",ILB,6
1994,198750,"Winston Moss",OLB,6
1994,1992247,"Bernard Dafney",G,6
1994,198918,"Brian Williams",C,6
1994,19834,"Chris Hinton",T,6
1994,00001776,"Darrick Brilz",C,6
1994,1990124,"Derrick Graham",T,6
1994,199261,"Ed Cunningham",C,6
1994,199318,"Ernest Dye",T,6
1994,198473,"Guy McIntyre",G,6
1994,198722,"Harris Barton",T,6
1994,199291,"Jeff Christy",C,6
1994,00001838,"Jeff Criswell",T,6
1994,198421,"John Alt",T,6
1994,199227,"John Fina",T,6
1994,00001864,"Ken Moyer",G,6
1994,00001835,"Kevin Sargent",T,6
1994,198572,"Lance Smith",G,6
1994,199060,"Leo Goeas",G,6
1994,1983219,"Mark Bortz",G,6
1994,1991130,"Mike Arthur",C,6
1994,199210,"Ray Roberts",T,6
1994,1990196,"Roger Duffy",G,6
1994,199419,"Todd Steussie",T,6
1994,198650,"Tom Newberry",G,6
1994,198713,"Chris Miller",QB,6
1994,1990128,"Barry Foster",RB,6
1994,1990130,"Brian Mitchell",RB,6
1994,199343,"Glyn Milburn",RB,6
1994,00002501,"Kimble Anders",RB,6
1994,1990115,"Larry Centers",RB,6
1994,199114,"Leonard Russell",RB,6
1994,1991158,"Leroy Thompson",RB,6
1994,1985158,"Jay Novacek",TE,6
1994,199215,"Johnny Mitchell",TE,6
1994,1990132,"Charles Wilson",WR,6
1994,19937,"Curtis Conway",WR,6
1994,19924,"Desmond Howard",WR,6
1994,198982,"Don Beebe",WR,6
1994,198523,"Jessie Hester",WR,6
1994,199166,"Lawrence Dawsey",WR,6
1994,1992138,"Torrance Small",WR,6
1994,199022,"Ben Smith",CB,5
1994,199330,"Carlton Gray",CB,5
1994,1988110,"Charles Dimry",CB,5
1994,1986153,"Eddie Anderson",S,5
1994,199016,"James Williams",CB,5
1994,1992197,"Jason Belser",S,5
1994,1984173,"Kevin Ross",S,5
1994,198925,"Louis Oliver",S,5
1994,1991207,"Marty Carter",S,5
1994,000078,"Orlando Watters",CB,5
1994,199241,"Phillippi Sparks",CB,5
1994,199333,"Ryan McNeil",CB,5
1994,1992106,"Sean Lumpkin",S,5
1994,198794,"Thomas Everett",S,5
1994,199447,"Thomas Randolph",CB,5
1994,1993137,"Tyrone Hughes",CB,5
1994,199044,"Vince Buck",S,5
1994,199119,"Vinnie Clark",CB,5
1994,198885,"William White",S,5
1994,1993112,"Albert Fontenot",DT,5
1994,199335,"Carl Simpson",DT,5
1994,1993199,"Chad Brown",DE,5
1994,19936,"Eric Curry",DE,5
1994,198157,"Frank Warren",DT,5
1994,0000834,"Harald Hasselbach",DT,5
1994,199157,"James Jones",DT,5
1994,19935,"John Copeland",DE,5
1994,1987141,"Tim Johnson",DT,5
1994,19862,"Tony Casillas",DT,5
1994,199454,"Aubrey Beavers",OLB,5
1994,198793,"Byron Evans",ILB,5
1994,19908,"Chris Singleton",OLB,5
1994,00001284,"Clay Matthews",OLB,5
1994,1992116,"Dwayne Sabb",OLB,5
1994,19934,"Marvin Jones",ILB,5
1994,199288,"Ricardo McDonald",OLB,5
1994,00001285,"Vinson Smith",OLB,5
1994,19944,"Willie McGinest",OLB,5
1994,199332,"Ben Coleman",T,5
1994,199313,"Brad Hopkins",T,5
1994,19917,"Charles McRae",G,5
1994,1993167,"Corbin Lacina",G,5
1994,19888,"Dave Cadigan",G,5
1994,198923,"David Williams",T,5
1994,198845,"Gerald Perry",T,5
1994,1991292,"Jerry Crafts",T,5
1994,198512,"Jim Lachey",T,5
1994,199144,"John Flannery",G,5
1994,1987265,"John Gesek",C,5
1994,199436,"Kevin Mawae",G,5
1994,00001782,"Kirk Scrafford",T,5
1994,199446,"Larry Allen",T,5
1994,00001837,"Ricky Siglar",T,5
1994,1988108,"Todd Kalis",G,5
1994,199351,"Todd Rucci",G,5
1994,00001807,"Zefross Moss",T,5
1994,199251,"Chuck Smith",DE,5
1994,1993202,"Doug Pelfrey",K,5
1994,1985195,"Fuad Reveiz",K,5
1994,00002232,"John Carney",K,5
1994,1990329,"Matt Stover",K,5
1994,198876,"Chris Chandler",QB,5
1994,198939,"Daryl Johnston",RB,5
1994,1989268,"Derrick Fenner",RB,5
1994,198615,"John Williams",RB,5
1994,198610,"Keith Byars",RB,5
1994,199271,"Kevin Turner",RB,5
1994,198822,"Lorenzo White",RB,5
