"year","player","url","position","college","height","weight","dash","vert_leap","bench","broad","cone","shuttle"
"2000","Bill Burke","","QB","Michigan State","76","206","5.03","28.5","0","107","7.46","4.42"
"2000","Chris Chaloupka","","QB","Sam Houston State","74","216","4.96","0","0","0","0","0"
"2000","Chrys Chukwuma","","RB","Arkansas","73","232","4.56","0","0","115","0","0"
"2000","D.J. Cooper","","DT","Arkansas","75","277","5.22","28.0","0","108","7.41","4.49"
"2000","Brandon Daniels","","WR","Oklahoma","70","211","4.54","0","0","0","0","0"
"2000","Chris Daniels","","WR","Purdue","75","217","4.74","33.0","0","115","7.20","4.24"
"2000","Adam Davis","","OG","Oklahoma State","76","309","5.66","26.0","0","92","8.51","5.00"
"2000","Darren Davis","","RB","Iowa State","68","189","4.81","32.0","13","109","7.04","4.47"
"2000","Mike Derouselle","","DT","Houston","74","314","5.28","27.5","27","96","7.67","4.80"
"2000","Matt Farmer","","WR","Air Force","72","190","4.51","33.0","0","108","6.63","3.94"
"2000","Kevin Feterik","","QB","BYU","71","207","4.92","31.0","0","106","7.30","4.45"
"2000","Chafie Fields","","WR","Penn State","73","196","4.43","0","0","0","0","0"
"2000","Derrick Foster","","RB","Texas A&M-Kingsville","71","201","4.43","34.5","19","117","6.84","4.36"
"2000","Dante' Hall","","RB","Texas A&M","68","191","4.44","38.0","18","123","6.62","3.82"
"2000","Ricky Hall","","WR","Virginia Tech","74","206","4.52","0","0","0","0","0"
"2000","Joey Hamilton","","WR","Jacksonville State","73","201","4.54","36.0","0","116","7.57","4.41"
"2000","D'Andre Hardeman","","FB","Texas A&M","70","238","4.81","30.0","0","109","7.27","4.36"
"2000","Semisi Heimuli","","OG","Texas A&M","73","312","5.40","29.0","20","94","7.94","4.63"
"2000","Leroy Hodge","","WR","Texas A&M","73","215","4.54","34.5","0","116","7.14","4.21"
"2000","Al Jackson","","OG","LSU","75","304","5.20","0","19","0","0","0"
"2000","Keith Jackson","","DT","Cheyney","76","319","5.20","0","28","0","0","0"
"2000","Ryan Johanningmeier","","OG","Colorado","78","310","5.25","29.0","0","107","7.90","4.66"
"2000","Dwaune Jones","","WR","Richmond","72","191","4.66","0","0","0","0","0"
"2000","Morgan Kane","","RB","Wake Forest","73","221","4.62","37.5","29","121","6.81","4.16"
"2000","Matt Keller","","FB","Ohio State","71","235","4.74","0","0","0","0","0"
"2000","Dan Kendra","","FB","Florida State","72","251","4.84","35.0","24","119","0","0"
"2000","Tim Lester","","QB","Western Michigan","72","202","5.02","27.0","0","97","7.28","4.24"
"2000","Alton Lusk","","WR","Central Oklahoma","74","182","4.61","36.5","0","122","7.16","4.26"
"2000","Wendell Montgomery","","WR","Wyoming","75","203","4.81","35.5","0","117","7.01","4.24"
"2000","Mookie Moore","","OG","Troy","75","320","5.45","24.5","34","94","8.37","5.06"
"2000","Leon Murray","","QB","Tennessee State","74","207","4.75","0","0","0","0","0"
"2000","Matt O'Neal","","C","Oklahoma","75","277","5.06","27.5","17","94","7.59","4.72"
"2000","Cory Peterson","","WR","Mississippi","74","195","4.75","32.5","0","114","0","0"
"2000","Brian Young","/players/Y/YounBr20.htm","DE","Texas-El Paso","74","278","4.94","29.5","27","106","7.20","4.47"
"2000","Antonio Wilson","/players/W/WilsAn20.htm","OLB","Texas A&M-Commerce","74","245","4.56","0","11","0","0","0"
"2000","Bobbie Williams","/players/W/WillBo21.htm","OT","Arkansas","76","332","5.26","29.0","28","97","7.78","4.72"
"2000","Damen Wheeler","/players/W/WheeDa20.htm","CB","Colorado","69","179","4.51","35.0","11","115","7.21","4.27"
"2000","Austin Wheatley","/players/W/WheaAu20.htm","TE","Iowa","76","254","4.66","32.5","0","121","6.97","4.18"
"2000","James Whalen","/players/W/WhalJa00.htm","TE","Kentucky","74","228","4.78","31.0","0","110","7.42","4.22"
"2000","Jason Webster","/players/W/WebsJa20.htm","CB","Texas A&M","69","180","4.42","35.5","17","122","6.76","3.98"
"2000","Ethan Howell","","CB","Oklahoma State","71","186","4.56","0","16","0","6.98","4.13"
"2000","Todd Wade","/players/W/WadeTo20.htm","OT","Mississippi","80","326","5.22","27.5","29","101","7.68","4.68"
"2000","Darrick Vaughn","/players/V/VaugDa20.htm","CB","Texas State","71","196","4.53","36.5","14","121","7.09","4.16"
"2000","Brian Urlacher","/players/U/UrlaBr00.htm","OLB","New Mexico","76","258","4.59","34.0","27","122","6.94","4.18"
"2000","Jeff Ulbrich","/players/U/UlbrJe20.htm","ILB","Hawaii","72","249","4.65","32.0","24","109","7.23","4.30"
"2000","Travares Tillman","/players/T/TillTr20.htm","FS","Georgia Tech","73","194","4.60","37.5","15","123","6.95","4.29"
"2000","Raynoch Thompson","/players/T/ThomRa23.htm","OLB","Tennessee","75","220","4.65","0","0","0","0","0"
"2000","Michael Thompson","/players/T/ThomMi20.htm","OT","Tennessee State","76","305","5.28","26.0","16","104","7.99","4.73"
"2000","Adalius Thomas","/players/T/ThomAd00.htm","DE","Southern Miss","74","270","4.56","38.5","0","120","0","4.42"
"2000","Shannon Taylor","/players/T/TaylSh20.htm","OLB","Virginia","75","249","4.65","34.5","0","115","0","0"
"2000","Jay Tant","/players/T/TantJa00.htm","TE","Northwestern","75","255","4.75","0","31","0","0","0"
"2000","Dave Stachelski","/players/S/StacDa00.htm","TE","Boise State","75","250","4.78","38.0","24","115","6.84","4.14"
"2000","Robaire Smith","/players/S/SmitRo21.htm","DE","Michigan State","76","275","4.88","0","0","0","0","0"
"2000","Marvel Smith","/players/S/SmitMa55.htm","OT","Arizona State","77","320","5.37","27.5","24","100","7.87","4.83"
"2000","T.J. Slaughter","/players/S/SlauT.20.htm","ILB","Southern Miss","72","247","4.87","30.0","24","112","7.08","4.26"
