year,team_id,wins,losses,ties,pf,pa,pd,wc,d,c,sl,sw
1988,CIN,12,4,0,448,329,119,1,1,1,1,0
1988,NOR,10,6,0,312,283,29,0,0,0,0,0
1988,TAM,5,11,0,261,350,-89,0,0,0,0,0
1989,BUF,9,7,0,409,317,92,1,1,0,0,0
1989,CHI,6,10,0,358,377,-19,0,0,0,0,0
1989,MIN,10,6,0,351,275,76,1,1,0,0,0
1989,PIT,9,7,0,265,326,-61,1,1,0,0,0
1989,LAC,6,10,0,266,290,-24,0,0,0,0,0
1989,ATL,3,13,0,279,437,-158,0,0,0,0,0
1989,IND,8,8,0,298,301,-3,0,0,0,0,0
1989,ARI,5,11,0,258,377,-119,0,0,0,0,0
1989,OAK,8,8,0,315,297,18,0,0,0,0,0
1989,TEN,9,7,0,365,412,-47,1,0,0,0,0
1989,NYJ,4,12,0,253,411,-158,0,0,0,0,0
1989,PHI,11,5,0,342,274,68,1,0,0,0,0
1989,LAR,11,5,0,426,344,82,1,1,1,0,0
1989,GNB,10,6,0,362,356,6,0,0,0,0,0
1989,DAL,1,15,0,204,393,-189,0,0,0,0,0
1989,DET,7,9,0,312,364,-52,0,0,0,0,0
1989,SEA,7,9,0,241,327,-86,0,0,0,0,0
1989,CLE,9,6,1,334,254,80,1,1,1,0,0
1989,NWE,5,11,0,297,391,-94,0,0,0,0,0
1989,KAN,8,7,1,318,286,32,0,0,0,0,0
1989,NYG,12,4,0,348,252,96,1,1,0,0,0
1989,DEN,11,5,0,362,226,136,1,1,1,1,0
1989,WAS,10,6,0,386,308,78,0,0,0,0,0
1989,SFO,14,2,0,442,253,189,1,1,1,1,1
1989,MIA,8,8,0,331,379,-48,0,0,0,0,0
1989,CIN,8,8,0,404,285,119,0,0,0,0,0
1989,NOR,9,7,0,386,301,85,0,0,0,0,0
1989,TAM,5,11,0,320,419,-99,0,0,0,0,0
1990,BUF,13,3,0,428,263,165,1,1,1,1,0
1990,CHI,11,5,0,348,280,68,1,1,0,0,0
1990,MIN,6,10,0,351,326,25,0,0,0,0,0
1990,PIT,9,7,0,292,240,52,0,0,0,0,0
1990,LAC,6,10,0,315,281,34,0,0,0,0,0
1990,ATL,5,11,0,348,365,-17,0,0,0,0,0
1990,IND,7,9,0,281,353,-72,0,0,0,0,0
1990,ARI,5,11,0,268,396,-128,0,0,0,0,0
1990,OAK,12,4,0,337,268,69,1,1,1,0,0
1990,TEN,9,7,0,405,307,98,1,0,0,0,0
1990,NYJ,6,10,0,295,345,-50,0,0,0,0,0
1990,PHI,10,6,0,396,299,97,1,0,0,0,0
1990,LAR,5,11,0,345,412,-67,0,0,0,0,0
1990,GNB,6,10,0,271,347,-76,0,0,0,0,0
1990,DAL,7,9,0,244,308,-64,0,0,0,0,0
1990,DET,6,10,0,373,413,-40,0,0,0,0,0
1990,SEA,9,7,0,306,286,20,0,0,0,0,0
1990,CLE,3,13,0,228,462,-234,0,0,0,0,0
1990,NWE,1,15,0,181,446,-265,0,0,0,0,0
1990,KAN,11,5,0,369,257,112,1,0,0,0,0
1990,NYG,13,3,0,335,211,124,1,1,1,1,1
1990,DEN,5,11,0,331,374,-43,0,0,0,0,0
1990,WAS,10,6,0,381,301,80,1,1,0,0,0
1990,SFO,14,2,0,353,239,114,1,1,1,0,0
1990,MIA,12,4,0,336,242,94,1,1,0,0,0
1990,CIN,9,7,0,360,352,8,1,1,0,0,0
1990,NOR,8,8,0,274,275,-1,1,0,0,0,0
1990,TAM,6,10,0,264,367,-103,0,0,0,0,0
1991,BUF,13,3,0,458,318,140,1,1,1,1,0
1991,CHI,11,5,0,299,269,30,1,0,0,0,0
1991,MIN,8,8,0,301,306,-5,0,0,0,0,0
1991,PIT,7,9,0,292,344,-52,0,0,0,0,0
1991,LAC,4,12,0,274,342,-68,0,0,0,0,0
1991,ATL,10,6,0,361,338,23,1,1,0,0,0
1991,IND,1,15,0,143,381,-238,0,0,0,0,0
1991,ARI,4,12,0,196,344,-148,0,0,0,0,0
1991,OAK,9,7,0,298,297,1,1,0,0,0,0
1991,TEN,11,5,0,386,251,135,1,1,0,0,0
1991,NYJ,8,8,0,314,293,21,1,0,0,0,0
1991,PHI,10,6,0,285,244,41,0,0,0,0,0
1991,LAR,3,13,0,234,390,-156,0,0,0,0,0
1991,GNB,4,12,0,273,313,-40,0,0,0,0,0
1991,DAL,11,5,0,342,310,32,1,1,0,0,0
1991,NYG,8,8,0,281,297,-16,0,0,0,0,0
1991,SEA,7,9,0,276,261,15,0,0,0,0,0
1991,CLE,6,10,0,293,298,-5,0,0,0,0,0
1991,NWE,6,10,0,211,305,-94,0,0,0,0,0
1991,KAN,10,6,0,322,252,70,1,1,0,0,0
1991,DET,12,4,0,339,295,44,1,1,1,0,0
1991,DEN,12,4,0,304,235,69,1,1,1,0,0
1991,WAS,14,2,0,485,224,261,1,1,1,1,1
1991,SFO,10,6,0,393,239,154,0,0,0,0,0
1991,MIA,8,8,0,343,349,-6,0,0,0,0,0
1991,CIN,3,13,0,263,435,-172,0,0,0,0,0
1991,NOR,11,5,0,341,211,130,1,0,0,0,0
1991,TAM,3,13,0,199,365,-166,0,0,0,0,0
1992,BUF,11,5,0,381,283,98,1,1,1,1,0
1992,CHI,5,11,0,295,361,-66,0,0,0,0,0
1992,MIN,11,5,0,374,249,125,1,0,0,0,0
1992,PIT,11,5,0,299,225,74,1,1,0,0,0
1992,LAC,11,5,0,335,241,94,1,1,0,0,0
1992,ATL,6,10,0,327,414,-87,0,0,0,0,0
1992,IND,9,7,0,216,302,-86,0,0,0,0,0
1992,ARI,4,12,0,243,332,-89,0,0,0,0,0
1992,OAK,7,9,0,249,281,-32,0,0,0,0,0
1992,TEN,10,6,0,352,258,94,1,0,0,0,0
1992,NYJ,4,12,0,220,315,-95,0,0,0,0,0
1992,PHI,11,5,0,354,245,109,1,1,0,0,0
1992,LAR,6,10,0,313,383,-70,0,0,0,0,0
1992,GNB,9,7,0,276,296,-20,0,0,0,0,0
1992,DAL,13,3,0,409,243,166,1,1,1,1,1
1992,DET,5,11,0,273,332,-59,0,0,0,0,0
1992,SEA,2,14,0,140,312,-172,0,0,0,0,0
1992,CLE,7,9,0,272,275,-3,0,0,0,0,0
1992,NWE,2,14,0,205,363,-158,0,0,0,0,0
1992,KAN,10,6,0,348,282,66,1,0,0,0,0
1992,NYG,6,10,0,306,367,-61,0,0,0,0,0
1992,DEN,8,8,0,262,329,-67,0,0,0,0,0
1992,WAS,9,7,0,300,255,45,1,1,0,0,0
1992,SFO,14,2,0,431,236,195,1,1,1,0,0
1992,MIA,11,5,0,340,281,59,1,1,1,0,0
1992,CIN,5,11,0,274,364,-90,0,0,0,0,0
1992,NOR,12,4,0,330,202,128,1,0,0,0,0
1992,TAM,5,11,0,267,365,-98,0,0,0,0,0
1993,BUF,12,4,0,329,242,87,1,1,1,1,0
1993,CHI,7,9,0,234,230,4,0,0,0,0,0
1993,MIN,9,7,0,277,290,-13,1,0,0,0,0
1993,PIT,9,7,0,308,281,27,1,0,0,0,0
1993,LAC,8,8,0,322,290,32,0,0,0,0,0
1993,ATL,6,10,0,316,385,-69,0,0,0,0,0
1993,IND,4,12,0,189,378,-189,0,0,0,0,0
1993,ARI,7,9,0,326,269,57,0,0,0,0,0
1993,OAK,10,6,0,306,326,-20,1,1,0,0,0
1993,TEN,12,4,0,368,238,130,1,1,0,0,0
1993,NYJ,8,8,0,270,247,23,0,0,0,0,0
1993,PHI,8,8,0,293,315,-22,0,0,0,0,0
1993,LAR,5,11,0,221,367,-146,0,0,0,0,0
1993,GNB,9,7,0,340,282,58,1,1,0,0,0
1993,DAL,12,4,0,376,229,147,1,1,1,1,1
1993,DET,10,6,0,298,292,6,1,0,0,0,0
1993,SEA,6,10,0,280,314,-34,0,0,0,0,0
1993,CLE,7,9,0,304,307,-3,0,0,0,0,0
1993,NWE,5,11,0,238,286,-48,0,0,0,0,0
1993,KAN,11,5,0,328,291,37,1,1,1,0,0
1993,NYG,11,5,0,288,205,83,1,1,0,0,0
1993,DEN,9,7,0,373,284,89,1,0,0,0,0
1993,WAS,4,12,0,230,345,-115,0,0,0,0,0
1993,SFO,10,6,0,473,295,178,1,1,1,0,0
1993,MIA,9,7,0,349,351,-2,0,0,0,0,0
1993,CIN,3,13,0,187,319,-132,0,0,0,0,0
1993,NOR,8,8,0,317,343,-26,0,0,0,0,0
1993,TAM,5,11,0,237,376,-139,0,0,0,0,0
1994,BUF,7,9,0,340,356,-16,0,0,0,0,0
1994,CHI,9,7,0,271,307,-36,1,1,0,0,0
1994,MIN,10,6,0,356,314,42,1,0,0,0,0
1994,PIT,12,4,0,316,234,82,1,1,1,0,0
1994,LAC,11,5,0,381,306,75,1,1,1,1,0
1994,ATL,7,9,0,317,385,-68,0,0,0,0,0
1994,IND,8,8,0,307,320,-13,0,0,0,0,0
1994,OAK,9,7,0,303,327,-24,0,0,0,0,0
1994,TEN,2,14,0,226,352,-126,0,0,0,0,0
1994,NYJ,6,10,0,264,320,-56,0,0,0,0,0
1994,PHI,7,9,0,308,308,0,0,0,0,0,0
1994,LAR,4,12,0,286,365,-79,0,0,0,0,0
1994,GNB,9,7,0,382,287,95,1,1,0,0,0
1994,DAL,12,4,0,414,248,166,1,1,1,0,0
1994,NYG,9,7,0,279,305,-26,0,0,0,0,0
1994,SEA,6,10,0,287,323,-36,0,0,0,0,0
1994,CLE,11,5,0,340,204,136,1,1,0,0,0
1994,NWE,10,6,0,351,312,39,1,0,0,0,0
1994,KAN,9,7,0,319,298,21,1,0,0,0,0
1994,ARI,8,8,0,235,267,-32,0,0,0,0,0
1994,DEN,7,9,0,347,396,-49,0,0,0,0,0
